Year,Temperature(Degree Celsius)
1961,-0.113
1962,-0.164
1963,0.847
1964,-0.764
1965,-0.244
1966,0.226
1967,-0.371
1968,-0.423
1969,-0.539
1970,0.813
1971,0.619
1972,-1.124
1973,0.232
1974,-0.489
1975,-0.445
1976,-0.286
1977,0.513
1978,0.129
1979,0.361
1980,0.6
1981,0.483
1982,-0.346
1983,0.164
1984,0.145
1985,0.283
1986,-0.141
1987,0.391
1988,0.919
1989,-0.205
1990,0.73
1991,-0.168
1992,-0.294
1993,0.22
1994,0.43
1995,0.359
1996,-0.116
1997,0.471
1998,0.675
1999,1.198
2000,0.993
2001,1.311
2002,1.365
2003,0.587
2004,1.373
2005,0.401
2006,1.72
2007,0.675
2008,0.704
2009,0.895
2010,1.613
2011,1.397
2012,0.223
2013,1.281
2014,0.456
2015,1.093
2016,1.555
2017,1.54
2018,1.544
2019,0.91
2020,0.498
2021,1.327
2022,2.012
