Year,Temperature(Degree Celsius)
1961,0.627
1962,0.326
1963,0.075
1964,-0.166
1965,-0.388
1966,0.559
1967,-0.074
1968,0.081
1969,-0.013
1970,-0.106
1971,-0.195
1972,-0.069
1973,-0.288
1974,-0.139
1975,-0.211
1976,-0.683
1977,0.545
1978,-0.814
1979,0.203
1980,-0.414
1981,-0.351
1982,0.173
1983,-0.128
1984,-0.27
1985,-0.103
1986,0.569
1987,-0.106
1988,0.37
1989,-0.066
1990,0.795
1991,-0.269
1992,0.106
1993,0.076
1994,1.33
1995,-0.172
1996,-0.038
1997,0.075
1998,0.795
1999,0.67
2000,1.065
2001,1.532
2002,0.492
2003,0.97
2004,0.444
2005,0.189
2006,0.345
2007,1.316
2008,0.978
2009,0.91
2010,1.191
2011,1.055
2012,1.487
2013,1.333
2014,1.198
2015,1.569
2016,1.464
2017,1.121
2018,2.028
2019,1.675
2020,1.498
2021,1.536
2022,1.518
