Year,Temperature(Degree Celsius)
1961,0.079
1962,-0.042
1963,0.169
1964,-0.14
1965,-0.562
1966,0.181
1967,-0.368
1968,-0.187
1969,0.132
1970,-0.047
1971,-0.477
1972,-0.067
1973,0.33
1974,-0.308
1975,-0.118
1976,-0.177
1977,0.156
1978,0.092
1979,0.341
1980,0.35
1981,0.179
1982,0.28
1983,0.313
1984,0.277
1985,0.256
1986,0.394
1987,0.354
1988,0.509
1989,0.143
1990,0.497
1991,0.641
1992,0.344
1993,-0.069
1994,0.189
1995,0.755
1996,0.784
1997,
1998,
1999,0.242
2000,0.626
2001,0.904
2002,1.152
2003,0.716
2004,0.191
2005,0.801
2006,0.403
2007,1.032
2008,0.67
2009,
2010,1.311
2011,0.854
2012,0.924
2013,1.257
2014,1.17
2015,1.009
2016,1.539
2017,1.435
2018,1.189
2019,1.539
2020,1.43
2021,1.268
2022,1.256
