Year,Temperature(Degree Celsius)
1961,0.122
1962,-0.046
1963,0.162
1964,-0.343
1965,0.09
1966,-0.163
1967,0
1968,0.472
1969,0.292
1970,0.438
1971,-0.26
1972,-0.008
1973,-0.139
1974,-0.106
1975,-0.021
1976,-0.321
1977,0.432
1978,0.362
1979,0.266
1980,0.373
1981,0.378
1982,0.359
1983,0.046
1984,-0.1
1985,0.308
1986,0.46
1987,0.446
1988,-0.192
1989,0.611
1990,0.436
1991,0.261
1992,-0.261
1993,0.086
1994,0.487
1995,0.259
1996,0.512
1997,0.759
1998,0.351
1999,0.16
2000,-0.186
2001,0.425
2002,0.278
2003,0.635
2004,0.47
2005,0.281
2006,0.596
2007,-0.169
2008,0.601
2009,0.857
2010,0.135
2011,0.386
2012,0.798
2013,0.442
2014,0.951
2015,0.957
2016,0.488
2017,1.095
2018,0.878
2019,0.76
2020,1.123
2021,1.031
2022,0.643
