Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,-1.31
1993,-0.932
1994,0.481
1995,0.697
1996,0.47
1997,0.599
1998,1.316
1999,1.488
2000,1.031
2001,1.395
2002,1.194
2003,0.141
2004,1.162
2005,0.48
2006,1.621
2007,0.706
2008,0.861
2009,0.706
2010,2.775
2011,0.65
2012,1.247
2013,1.407
2014,1.283
2015,1.931
2016,1.356
2017,0.889
2018,2.772
2019,1.859
2020,1.954
2021,2.087
2022,1.707
