Year,Temperature(Degree Celsius)
1961,-0.1
1962,0.138
1963,0.084
1964,0.271
1965,-0.18
1966,0.122
1967,-0.258
1968,0.055
1969,0.476
1970,0.354
1971,-0.349
1972,-0.02
1973,0.149
1974,-0.448
1975,-0.253
1976,-0.518
1977,0.182
1978,
1979,
1980,0.452
1981,0.469
1982,0.309
1983,0.602
1984,-0.02
1985,-0.076
1986,0.04
1987,0.806
1988,0.388
1989,-0.066
1990,0.279
1991,0.331
1992,
1993,
1994,0.528
1995,0.802
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,1.067
2004,0.661
2005,0.836
2006,0.51
2007,0.935
2008,
2009,
2010,1.309
2011,0.509
2012,0.58
2013,1.094
2014,0.986
2015,1.149
2016,
2017,1.303
2018,0.698
2019,1.007
2020,1.281
2021,
2022,
