Year,Temperature(Degree Celsius)
1961,1.031
1962,-0.621
1963,-0.727
1964,-0.371
1965,-0.883
1966,0.602
1967,0.676
1968,0.211
1969,-0.126
1970,-0.55
1971,-0.06
1972,0.103
1973,-0.033
1974,0.314
1975,0.86
1976,0.216
1977,0.499
1978,-0.476
1979,-0.112
1980,-0.274
1981,0.277
1982,0.384
1983,1.062
1984,-0.249
1985,-0.568
1986,0.319
1987,-0.263
1988,0.82
1989,1.104
1990,1.262
1991,0.125
1992,1.248
1993,0.527
1994,1.958
1995,0.939
1996,-0.203
1997,0.514
1998,1.343
1999,0.986
2000,1.769
2001,1.501
2002,1.531
2003,1.464
2004,0.829
2005,0.628
2006,0.907
2007,2.137
2008,1.582
2009,1.544
2010,0.656
2011,1.373
2012,1.783
2013,1.098
2014,2.409
2015,2.167
2016,2.096
2017,1.741
2018,2.524
2019,2.37
2020,2.315
2021,1.395
2022,2.498
