Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,-0.839
1993,-1.009
1994,0.098
1995,1.012
1996,0.244
1997,0.582
1998,1.184
1999,1.224
2000,1.098
2001,1.401
2002,1.432
2003,-0.147
2004,1.303
2005,0.814
2006,1.488
2007,0.958
2008,0.883
2009,0.78
2010,2.327
2011,0.766
2012,1.474
2013,1.574
2014,1.252
2015,1.672
2016,1.53
2017,1.308
2018,2.24
2019,1.997
2020,2.015
2021,2.061
2022,2.08
