Year,Temperature(Degree Celsius)
1961,-0.471
1962,0.397
1963,0.635
1964,-0.561
1965,0.234
1966,0.535
1967,-0.362
1968,-0.446
1969,0.567
1970,0.247
1971,-0.248
1972,-0.613
1973,-0.273
1974,-0.256
1975,-0.217
1976,-0.501
1977,0.332
1978,0.099
1979,0.856
1980,0.351
1981,0.408
1982,-0.086
1983,-0.834
1984,0.039
1985,0.367
1986,0.668
1987,0.548
1988,0.633
1989,0.047
1990,0.455
1991,-0.243
1992,-0.544
1993,0.127
1994,0.998
1995,0.251
1996,0.695
1997,0.376
1998,1.435
1999,2.055
2000,1.119
2001,1.216
2002,1.552
2003,1.256
2004,1.385
2005,1.065
2006,1.823
2007,1.08
2008,1.329
2009,1.224
2010,2.286
2011,1.431
2012,1.385
2013,1.403
2014,1.694
2015,2.24
2016,1.598
2017,2.08
2018,2.247
2019,2.108
2020,2.027
2021,2.464
2022,2.017
