Year,Temperature(Degree Celsius)
1961,0.152
1962,-0.265
1963,-0.09
1964,0.107
1965,-0.195
1966,0.308
1967,-0.226
1968,-0.236
1969,-0.007
1970,-0.021
1971,-0.579
1972,-0.012
1973,0.168
1974,-0.125
1975,-0.102
1976,-0.104
1977,-0.275
1978,-0.216
1979,0.495
1980,0.128
1981,-0.17
1982,-0.041
1983,-0.132
1984,-0.322
1985,0.05
1986,0.026
1987,0.341
1988,0.341
1989,0.064
1990,-0.149
1991,-0.024
1992,-0.146
1993,-0.446
1994,0.175
1995,0.173
1996,0.137
1997,-0.173
1998,0.504
1999,0.78
2000,0.226
2001,0.316
2002,0.398
2003,0.239
2004,0.269
2005,0.592
2006,0.814
2007,0.266
2008,0.093
2009,0.844
2010,0.768
2011,0.144
2012,0.235
2013,0.23
2014,0.482
2015,0.722
2016,1.337
2017,1.124
2018,0.881
2019,1.136
2020,0.898
2021,1.3
2022,1.216
