Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,1.273
1993,0.024
1994,1.138
1995,1.5
1996,-0.274
1997,0.359
1998,0.706
1999,1.506
2000,1.941
2001,1.979
2002,1.892
2003,0.084
2004,0.931
2005,1.276
2006,0.647
2007,2.362
2008,2.254
2009,1.603
2010,1.461
2011,1.017
2012,1.561
2013,1.212
2014,2.18
2015,2.247
2016,2.201
2017,1.592
2018,2.342
2019,2.689
2020,3.51
2021,1.728
2022,1.922
