Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,1.484
2001,1.336
2002,1.398
2003,1.526
2004,1.089
2005,1.197
2006,1.404
2007,1.883
2008,1.256
2009,1.158
2010,0.233
2011,1.289
2012,1.13
2013,0.463
2014,2.417
2015,1.371
2016,1.882
2017,1.731
2018,2.196
2019,2.081
2020,2.572
2021,1.203
2022,2.807
