Year,Temperature(Degree Celsius)
1961,0.213
1962,-0.292
1963,-0.22
1964,0.065
1965,-0.565
1966,0.14
1967,-0.378
1968,-0.478
1969,0.102
1970,-0.027
1971,-0.227
1972,-0.014
1973,0.31
1974,0.188
1975,0.103
1976,-0.042
1977,-0.059
1978,-0.213
1979,0.414
1980,0.081
1981,0.212
1982,-0.111
1983,-0.286
1984,-0.055
1985,0.113
1986,-0.068
1987,0.256
1988,0.567
1989,0.22
1990,-0.087
1991,0.081
1992,-0.229
1993,-0.248
1994,0.315
1995,0.518
1996,0.307
1997,-0.3
1998,0.825
1999,1.022
2000,0.214
2001,0.72
2002,0.492
2003,0.498
2004,0.476
2005,0.745
2006,0.955
2007,0.978
2008,0.555
2009,1.394
2010,1.202
2011,0.534
2012,0.512
2013,0.742
2014,0.86
2015,1.068
2016,1.487
2017,1.457
2018,1.346
2019,1.329
2020,1.09
2021,1.707
2022,1.523
