Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,0.659
1993,0.248
1994,1.691
1995,0.286
1996,-0.043
1997,0.112
1998,1.059
1999,0.612
2000,1.525
2001,1.527
2002,1.141
2003,1.088
2004,0.584
2005,0.124
2006,0.594
2007,1.861
2008,1.373
2009,1.379
2010,0.954
2011,1.117
2012,1.756
2013,1.319
2014,1.823
2015,1.813
2016,1.673
2017,1.419
2018,2.275
2019,1.987
2020,1.88
2021,1.598
2022,2.091
