Year,Temperature(Degree Celsius)
1961,0.151
1962,0.262
1963,-0.472
1964,-0.057
1965,0.098
1966,0.436
1967,-0.458
1968,-0.195
1969,0.197
1970,0.598
1971,-0.126
1972,-0.475
1973,0.602
1974,-0.746
1975,-0.225
1976,-0.717
1977,0.3
1978,-0.065
1979,0.543
1980,-0.038
1981,-0.441
1982,0.31
1983,1.012
1984,0.442
1985,0.293
1986,0.278
1987,1.27
1988,0.287
1989,-0.306
1990,0.738
1991,0.062
1992,0.813
1993,0.512
1994,-0.123
1995,1.141
1996,-0.319
1997,-0.096
1998,0.857
1999,0.552
2000,-0.718
2001,-0.186
2002,0.359
2003,0.74
2004,-0.133
2005,1.039
2006,-0.505
2007,0.23
2008,0.153
2009,-0.319
2010,0.936
2011,-0.048
2012,0.473
2013,0.77
2014,-0.092
2015,1.546
2016,1.469
2017,0.017
2018,0.734
2019,1.525
2020,0.493
2021,-0.425
2022,-1.305
