Year,Temperature(Degree Celsius)
1961,0.093
1962,-0.072
1963,0.189
1964,0.184
1965,-0.338
1966,-0.11
1967,-0.321
1968,-0.145
1969,0.356
1970,0.051
1971,-0.274
1972,-0.136
1973,0.214
1974,-0.353
1975,-0.218
1976,-0.368
1977,0.123
1978,0.109
1979,-0.05
1980,0.75
1981,0.512
1982,0.099
1983,0.533
1984,0.211
1985,0.088
1986,0.04
1987,0.514
1988,0.512
1989,0.054
1990,0.446
1991,0.439
1992,0.333
1993,0.541
1994,0.666
1995,0.613
1996,0.337
1997,0.459
1998,1.091
1999,0.525
2000,0.192
2001,0.57
2002,0.741
2003,0.843
2004,0.548
2005,0.825
2006,0.76
2007,1.007
2008,0.406
2009,0.621
2010,1.053
2011,0.393
2012,0.61
2013,0.782
2014,0.878
2015,1.065
2016,1.204
2017,0.971
2018,0.703
2019,0.915
2020,1.317
2021,0.956
2022,0.875
