Year,Temperature(Degree Celsius)
1961,0.062
1962,-0.017
1963,-0.165
1964,0.054
1965,-0.235
1966,0.183
1967,-0.093
1968,-0.177
1969,0.227
1970,0.086
1971,-0.248
1972,0.018
1973,0.255
1974,-0.151
1975,0.004
1976,-0.337
1977,-0.075
1978,0.123
1979,0.275
1980,0.185
1981,0.122
1982,0.186
1983,0.563
1984,0.021
1985,0.181
1986,0.156
1987,0.498
1988,0.471
1989,0.057
1990,0.381
1991,0.384
1992,0.326
1993,0.228
1994,0.453
1995,0.471
1996,0.429
1997,0.671
1998,1.296
1999,0.575
2000,0.485
2001,0.602
2002,0.669
2003,0.735
2004,0.673
2005,0.893
2006,0.718
2007,0.743
2008,0.511
2009,0.875
2010,1.012
2011,0.725
2012,0.912
2013,1.195
2014,1.028
2015,1.281
2016,1.74
2017,1.468
2018,1.41
2019,1.624
2020,1.783
2021,1.458
2022,1.446
