Year,Temperature(Degree Celsius)
1961,-0.285
1962,-0.208
1963,0.168
1964,-0.218
1965,-0.141
1966,-0.147
1967,-0.174
1968,-0.209
1969,0.543
1970,0.359
1971,-0.019
1972,0.135
1973,0.671
1974,-0.056
1975,-0.311
1976,-0.316
1977,0.267
1978,0.212
1979,0.434
1980,0.805
1981,0.282
1982,0.18
1983,0.724
1984,0.799
1985,0.472
1986,0.356
1987,1.011
1988,0.593
1989,0.009
1990,0.603
1991,0.527
1992,0.004
1993,0.725
1994,0.311
1995,0.401
1996,0.917
1997,0.621
1998,1.006
1999,0.548
2000,0.537
2001,0.502
2002,1.015
2003,0.986
2004,0.867
2005,1.449
2006,1.162
2007,0.867
2008,0.297
2009,0.942
2010,1.25
2011,1.001
2012,0.492
2013,0.849
2014,0.888
2015,1.111
2016,1.075
2017,1.212
2018,1.156
2019,1.065
2020,1.044
2021,1.624
2022,0.802
