Year,Temperature(Degree Celsius)
1961,0.022
1962,-0.502
1963,-0.007
1964,-0.18
1965,-0.265
1966,0.009
1967,-0.252
1968,-0.272
1969,0.156
1970,0.278
1971,-0.292
1972,0.147
1973,0.581
1974,0.179
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,0.437
1983,0.636
1984,
1985,
1986,0.51
1987,0.614
1988,0.286
1989,0.02
1990,0.279
1991,-0.096
1992,0.004
1993,
1994,
1995,
1996,
1997,
1998,0.545
1999,
2000,
2001,0.459
2002,0.887
2003,1.032
2004,1.122
2005,
2006,
2007,1.242
2008,
2009,
2010,
2011,
2012,
2013,
2014,
2015,
2016,
2017,
2018,
2019,
2020,
2021,
2022,
