Year,Temperature(Degree Celsius)
1961,-0.409
1962,-0.26
1963,0.291
1964,-0.176
1965,-0.092
1966,-0.007
1967,-0.377
1968,-0.155
1969,0.553
1970,0.163
1971,-0.241
1972,0.206
1973,0.719
1974,-0.032
1975,-0.172
1976,0.232
1977,-0.048
1978,-0.132
1979,0.459
1980,0.337
1981,0.037
1982,0.306
1983,-0.047
1984,0.508
1985,0.172
1986,0.63
1987,0.344
1988,0.133
1989,-0.271
1990,0.416
1991,0.649
1992,-0.279
1993,0.275
1994,0.381
1995,0.175
1996,0.586
1997,0.485
1998,0.841
1999,0.569
2000,0.281
2001,0.291
2002,0.797
2003,0.838
2004,0.831
2005,1.148
2006,1.368
2007,0.605
2008,0.466
2009,1.236
2010,1.181
2011,0.969
2012,0.553
2013,1.013
2014,0.856
2015,1.294
2016,0.939
2017,1.026
2018,1.527
2019,1.306
2020,1.192
2021,1.146
2022,0.738
