Year,Temperature(Degree Celsius)
1961,-0.301
1962,0.249
1963,0.054
1964,-0.22
1965,0.115
1966,-0.169
1967,-0.142
1968,0.366
1969,0.155
1970,0.205
1971,-0.364
1972,-0.13
1973,-0.058
1974,-0.18
1975,-0.127
1976,-0.262
1977,0.37
1978,0.366
1979,0.286
1980,0.342
1981,0.373
1982,0.397
1983,0.574
1984,-0.122
1985,0.328
1986,0.08
1987,0.616
1988,0.08
1989,0.327
1990,0.214
1991,0.108
1992,-0.116
1993,0.235
1994,0.279
1995,-0.004
1996,0.276
1997,0.716
1998,0.721
1999,0.251
2000,-0.179
2001,0.054
2002,0.14
2003,0.312
2004,0.563
2005,0.275
2006,0.575
2007,-0.219
2008,0.502
2009,0.52
2010,-0.015
2011,0.206
2012,0.699
2013,0.434
2014,0.488
2015,0.848
2016,1.022
2017,0.873
2018,0.538
2019,0.683
2020,0.947
2021,0.877
2022,0.407
