Year,Temperature(Degree Celsius)
1961,0.055
1962,-0.056
1963,0.33
1964,0.117
1965,0.151
1966,0.652
1967,0.044
1968,-0.654
1969,-0.009
1970,-0.398
1971,-0.187
1972,-0.141
1973,0.426
1974,-0.342
1975,0.161
1976,-0.769
1977,0.167
1978,0.016
1979,0.029
1980,0.244
1981,0.37
1982,0.057
1983,-0.193
1984,-0.528
1985,-0.294
1986,0.012
1987,0.831
1988,-0.139
1989,0.257
1990,0.271
1991,0.726
1992,-0.232
1993,0.3
1994,0.338
1995,-0.028
1996,0.028
1997,0.293
1998,0.94
1999,0.964
2000,0.298
2001,0.854
2002,0.961
2003,0.99
2004,0.701
2005,0.733
2006,0.897
2007,1.008
2008,0.415
2009,0.91
2010,0.367
2011,0.333
2012,0.53
2013,0.763
2014,0.703
2015,1.175
2016,0.77
2017,1.338
2018,1.183
2019,1.776
2020,1.882
2021,2.017
2022,1.432
