Year,Temperature(Degree Celsius)
1961,0.09
1962,-0.133
1963,-0.058
1964,0.117
1965,-0.217
1966,0.117
1967,-0.274
1968,-0.238
1969,0.363
1970,0.052
1971,-0.431
1972,-0.022
1973,0.349
1974,-0.306
1975,-0.304
1976,-0.24
1977,0.214
1978,0.109
1979,0.191
1980,0.446
1981,0.129
1982,0.192
1983,0.636
1984,-0.233
1985,-0.015
1986,0.017
1987,0.573
1988,0.312
1989,-0.091
1990,0.31
1991,0.449
1992,0.606
1993,0.263
1994,0.245
1995,0.517
1996,0.143
1997,0.504
1998,0.901
1999,-0.01
2000,-0.009
2001,0.438
2002,0.675
2003,0.693
2004,0.585
2005,0.681
2006,0.531
2007,0.641
2008,0.385
2009,0.856
2010,1.037
2011,0.467
2012,0.668
2013,0.834
2014,0.854
2015,1.249
2016,1.08
2017,0.82
2018,1.137
2019,1.397
2020,1.583
2021,1.073
2022,0.874
