Year,Temperature(Degree Celsius)
1961,-0.03
1962,-0.172
1963,-0.038
1964,-0.112
1965,-0.193
1966,0.109
1967,-0.119
1968,-0.158
1969,0.139
1970,0.218
1971,-0.141
1972,0.074
1973,0.458
1974,-0.077
1975,-0.103
1976,-0.185
1977,0.259
1978,0.141
1979,0.4
1980,0.311
1981,0.15
1982,0.143
1983,0.506
1984,0.282
1985,0.159
1986,0.307
1987,0.6
1988,0.488
1989,-0.144
1990,0.082
1991,0.293
1992,-0.213
1993,0.1
1994,0.293
1995,0.387
1996,-0.077
1997,0.627
1998,0.937
1999,0.455
2000,0.537
2001,0.393
2002,0.872
2003,0.961
2004,0.913
2005,1.014
2006,0.844
2007,0.768
2008,0.664
2009,0.928
2010,1.347
2011,0.844
2012,0.523
2013,1.003
2014,0.976
2015,1.053
2016,1.546
2017,1.32
2018,1.45
2019,1.483
2020,1.692
2021,1.658
2022,1.48
