Year,Temperature(Degree Celsius)
1961,-0.172
1962,-0.053
1963,0.12
1964,-0.123
1965,-0.179
1966,0.102
1967,-0.126
1968,-0.11
1969,0.118
1970,0.159
1971,-0.08
1972,-0.052
1973,0.493
1974,-0.081
1975,-0.125
1976,-0.248
1977,0.221
1978,0.111
1979,0.427
1980,0.32
1981,-0.189
1982,-0.205
1983,0.31
1984,0.15
1985,-0.195
1986,0.013
1987,0.354
1988,0.211
1989,-0.301
1990,-0.014
1991,0.144
1992,-0.314
1993,0.007
1994,0.223
1995,0.426
1996,-0.058
1997,
1998,1.055
1999,0.61
2000,0.404
2001,0.356
2002,0.752
2003,0.852
2004,0.891
2005,0.912
2006,0.808
2007,0.831
2008,0.74
2009,0.819
2010,1.255
2011,0.651
2012,0.667
2013,0.811
2014,0.744
2015,1.075
2016,1.479
2017,1.159
2018,1.245
2019,1.411
2020,1.5
2021,1.355
2022,1.245
