Year,Temperature(Degree Celsius)
1961,0.148
1962,-0.064
1963,-0.099
1964,0.163
1965,-0.373
1966,0.035
1967,-0.352
1968,-0.387
1969,-0.009
1970,0.249
1971,-0.079
1972,-0.03
1973,0.508
1974,-0.129
1975,-0.167
1976,-0.269
1977,0.057
1978,-0.006
1979,-0.05
1980,0.138
1981,0.036
1982,-0.061
1983,0.06
1984,-0.043
1985,0.05
1986,0.264
1987,-0.021
1988,0.34
1989,0.13
1990,0.19
1991,0.197
1992,0.21
1993,-0.069
1994,0.186
1995,0.455
1996,0.247
1997,-0.108
1998,-0.258
1999,0.625
2000,0.303
2001,0.402
2002,0.292
2003,0.262
2004,0.257
2005,0.115
2006,0.314
2007,0.344
2008,0.208
2009,0.077
2010,0.604
2011,0.548
2012,0.258
2013,0.455
2014,0.158
2015,-0.43
2016,0.31
2017,0.675
2018,0.238
2019,0.22
2020,0.274
2021,0.568
2022,0.479
