Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,-0.549
1972,0.135
1973,0.163
1974,-0.256
1975,-0.398
1976,0.187
1977,0.296
1978,0.175
1979,0.213
1980,0.425
1981,0.189
1982,0.604
1983,1.052
1984,0.035
1985,-0.047
1986,
1987,0.658
1988,0.119
1989,0.067
1990,0.591
1991,0.582
1992,0.498
1993,0.308
1994,0.514
1995,0.633
1996,-0.021
1997,0.862
1998,1.139
1999,-0.174
2000,-0.017
2001,0.608
2002,0.894
2003,0.864
2004,0.796
2005,0.584
2006,0.775
2007,0.75
2008,0.349
2009,1.052
2010,0.989
2011,0.564
2012,
2013,
2014,
2015,
2016,
2017,
2018,
2019,
2020,
2021,
2022,
