Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,0.811
1993,0.382
1994,1.693
1995,0.407
1996,-0.055
1997,0.285
1998,1.127
1999,0.676
2000,1.601
2001,1.57
2002,1.233
2003,1.244
2004,0.633
2005,0.253
2006,0.68
2007,1.938
2008,1.416
2009,1.454
2010,0.821
2011,1.22
2012,1.809
2013,1.232
2014,2.004
2015,1.895
2016,1.807
2017,1.523
2018,2.282
2019,2.082
2020,1.989
2021,1.582
2022,2.209
