Year,Temperature(Degree Celsius)
1961,-0.084
1962,-0.07
1963,-0.127
1964,0.102
1965,0.023
1966,-0.325
1967,-0.234
1968,-0.339
1969,0.024
1970,-0.349
1971,0.067
1972,0.433
1973,0.403
1974,0.087
1975,0.528
1976,-0.194
1977,0.131
1978,0.034
1979,0.349
1980,0.49
1981,-0.016
1982,0.591
1983,0.303
1984,0.287
1985,0.235
1986,0.357
1987,0.736
1988,0.603
1989,0.68
1990,0.836
1991,0.899
1992,0.608
1993,0.639
1994,1.016
1995,1.222
1996,0.627
1997,1.031
1998,1.191
1999,0.806
2000,0.508
2001,0.535
2002,0.945
2003,1.089
2004,0.872
2005,0.787
2006,0.914
2007,0.902
2008,0.642
2009,0.93
2010,0.957
2011,0.538
2012,0.611
2013,0.885
2014,1.144
2015,1.439
2016,1.37
2017,1.275
2018,1.177
2019,1.634
2020,1.722
2021,1.304
2022,1.437
