Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,0.293
1994,1.807
1995,1.044
1996,-0.602
1997,0.141
1998,1.258
1999,1.116
2000,1.914
2001,1.228
2002,1.531
2003,1.081
2004,0.822
2005,0.752
2006,0.957
2007,2.175
2008,1.654
2009,1.435
2010,0.425
2011,1.054
2012,1.596
2013,0.797
2014,2.527
2015,2.141
2016,2.1
2017,1.616
2018,2.672
2019,2.561
2020,2.361
2021,1.321
2022,2.394
