Year,Temperature(Degree Celsius)
1961,1.117
1962,-0.641
1963,-1.019
1964,-0.274
1965,-0.603
1966,-0.5
1967,0.831
1968,0.277
1969,-0.135
1970,-1.204
1971,0.261
1972,0.289
1973,0.67
1974,0.58
1975,1.335
1976,0.301
1977,-0.014
1978,0.145
1979,-1.191
1980,-0.441
1981,0.3
1982,0.002
1983,1.06
1984,0.379
1985,-1.004
1986,-0.444
1987,-0.985
1988,0.925
1989,1.803
1990,1.843
1991,0.616
1992,1.452
1993,0.235
1994,0.967
1995,1.304
1996,-0.753
1997,0.651
1998,0.869
1999,1.334
2000,1.719
2001,1.044
2002,1.652
2003,0.707
2004,1.032
2005,1.282
2006,1.349
2007,2.136
2008,1.853
2009,1.32
2010,-0.199
2011,0.677
2012,1.139
2013,0.397
2014,2.677
2015,1.516
2016,1.852
2017,1.619
2018,2.109
2019,2.18
2020,2.633
2021,1.69
2022,2.219
