Year,Temperature(Degree Celsius)
1961,-0.108
1962,-0.218
1963,-0.062
1964,-0.239
1965,0.111
1966,0.042
1967,-0.422
1968,-0.346
1969,0.442
1970,-0.131
1971,-0.569
1972,0.55
1973,0.124
1974,-0.246
1975,-0.314
1976,0.32
1977,0.341
1978,0.237
1979,0.514
1980,0.496
1981,0.028
1982,0.595
1983,1.176
1984,0.024
1985,-0.07
1986,0.194
1987,1.074
1988,0.425
1989,-0.003
1990,0.503
1991,0.536
1992,0.873
1993,0.571
1994,0.363
1995,0.738
1996,0.053
1997,1.24
1998,1.311
1999,0.202
2000,0.244
2001,0.478
2002,0.777
2003,0.83
2004,0.835
2005,0.837
2006,0.808
2007,0.818
2008,0.702
2009,0.961
2010,1.087
2011,0.783
2012,0.663
2013,0.491
2014,1.011
2015,1.393
2016,1.55
2017,1.155
2018,0.967
2019,1.279
2020,1.509
2021,1.032
2022,0.736
