Year,Temperature(Degree Celsius)
1961,-0.241
1962,0.64
1963,0.628
1964,-0.373
1965,-0.104
1966,0.447
1967,-0.678
1968,-0.126
1969,0.451
1970,-0.114
1971,-0.257
1972,-0.049
1973,-0.304
1974,-0.12
1975,-0.482
1976,-0.299
1977,-0.119
1978,-0.273
1979,0.585
1980,-0.08
1981,-0.259
1982,-0.413
1983,-1.123
1984,-0.228
1985,0.243
1986,0.118
1987,-0.317
1988,0.211
1989,-0.216
1990,-0.082
1991,0.384
1992,-0.611
1993,0.014
1994,0.611
1995,0.151
1996,0.381
1997,0.009
1998,0.744
1999,0.828
2000,0.054
2001,0.656
2002,0.827
2003,0.73
2004,0.647
2005,0.511
2006,0.726
2007,0.602
2008,0.937
2009,0.921
2010,2.325
2011,0.629
2012,0.939
2013,1.049
2014,1.254
2015,1.211
2016,1.396
2017,0.616
2018,2.049
2019,1.04
2020,1.117
2021,1.727
2022,0.655
