Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,0.097
1997,0.27
1998,0.442
1999,0.822
2000,0.561
2001,0.498
2002,1.077
2003,0.666
2004,1.127
2005,0.798
2006,0.928
2007,0.275
2008,1.097
2009,1.759
2010,1.644
2011,1.478
2012,1.476
2013,1.186
2014,0.985
2015,1.814
2016,0.99
2017,1.309
2018,0.976
2019,0.907
2020,
2021,1.49
2022,0.53
