Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,1.601
1993,0.553
1994,0.359
1995,1.748
1996,-0.35
1997,0.932
1998,0.542
1999,1.524
2000,2.066
2001,1.838
2002,1.483
2003,0.234
2004,1.184
2005,1.597
2006,1.262
2007,2.269
2008,2.607
2009,1.622
2010,0.554
2011,1.299
2012,1.47
2013,1.183
2014,2.447
2015,2.377
2016,1.936
2017,1.502
2018,2.413
2019,2.218
2020,3.625
2021,2.167
2022,1.961
