Year,Temperature(Degree Celsius)
1961,0.268
1962,0.433
1963,-0.21
1964,0.022
1965,-0.224
1966,0.295
1967,-0.274
1968,-0.431
1969,0.346
1970,0.5
1971,-0.002
1972,-0.395
1973,0.112
1974,-0.233
1975,-0.353
1976,-0.436
1977,0.305
1978,0.188
1979,0.234
1980,-0.13
1981,-0.429
1982,0.17
1983,0.915
1984,-0.04
1985,0.571
1986,0.321
1987,0.567
1988,0.608
1989,0.142
1990,0.281
1991,0.53
1992,1.147
1993,0.733
1994,-0.006
1995,0.585
1996,-0.042
1997,0.235
1998,0.991
1999,0.505
2000,-0.061
2001,0.517
2002,0.601
2003,0.715
2004,0.525
2005,1.153
2006,0.365
2007,1.133
2008,0.64
2009,0.383
2010,1.287
2011,0.897
2012,0.696
2013,0.566
2014,0.781
2015,1.235
2016,1.216
2017,0.688
2018,1.064
2019,1.623
2020,0.77
2021,0.669
2022,1.371
