Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,0.132
1994,0.483
1995,0.718
1996,0.689
1997,0.619
1998,0.772
1999,0.305
2000,0.565
2001,0.729
2002,1.031
2003,1.092
2004,0.834
2005,1.092
2006,1.003
2007,0.88
2008,0.832
2009,1.339
2010,1.276
2011,1.174
2012,1.104
2013,1.229
2014,1.187
2015,1.442
2016,1.532
2017,1.496
2018,0.986
2019,1.32
2020,1.343
2021,1.516
2022,1.455
