Year,Temperature(Degree Celsius)
1961,-0.351
1962,0.401
1963,-0.286
1964,-0.082
1965,0.178
1966,-0.606
1967,0.011
1968,0.286
1969,-0.348
1970,0.203
1971,-0.223
1972,-0.505
1973,0.219
1974,0.211
1975,0.128
1976,-0.223
1977,-0.089
1978,0.228
1979,0.644
1980,0.186
1981,0.186
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,
2012,
2013,
2014,
2015,
2016,
2017,
2018,
2019,
2020,
2021,
2022,
