Year,Temperature(Degree Celsius)
1961,0.63
1962,-0.48
1963,-0.056
1964,0.478
1965,-0.354
1966,-0.393
1967,-0.12
1968,-0.25
1969,-0.344
1970,-0.51
1971,0.245
1972,0.672
1973,-0.049
1974,0.501
1975,-0.024
1976,0.508
1977,-0.311
1978,-0.11
1979,-0.873
1980,0.041
1981,-0.364
1982,0.223
1983,-0.266
1984,0.489
1985,-0.118
1986,-0.119
1987,0.221
1988,0.303
1989,0.53
1990,0.801
1991,1.113
1992,0.812
1993,-0.053
1994,-0.172
1995,-0.31
1996,0.202
1997,0.755
1998,0.553
1999,0.469
2000,0.188
2001,0.461
2002,1.034
2003,1.604
2004,1.019
2005,0.487
2006,1.136
2007,0.952
2008,0.89
2009,1.441
2010,0.26
2011,1.055
2012,0.359
2013,0.597
2014,1.764
2015,0.813
2016,0.803
2017,1.49
2018,0.831
2019,0.877
2020,0.839
2021,1.012
2022,1.396
