Year,Temperature(Degree Celsius)
1961,0.219
1962,-0.083
1963,-0.046
1964,0.185
1965,-0.643
1966,-0.293
1967,-0.286
1968,-0.103
1969,-0.075
1970,0.118
1971,0.157
1972,-0.208
1973,0.446
1974,0.221
1975,0.227
1976,-0.004
1977,-0.079
1978,-0.002
1979,0.154
1980,0.195
1981,0.161
1982,0.151
1983,0.111
1984,0.358
1985,0.317
1986,-0.103
1987,0.206
1988,0.846
1989,0.247
1990,0.348
1991,0.09
1992,0.039
1993,-0.319
1994,-0.133
1995,0.385
1996,0.445
1997,0.152
1998,0.765
1999,0.538
2000,0.706
2001,0.728
2002,0.72
2003,0.581
2004,0.526
2005,0.698
2006,0.636
2007,1.032
2008,0.584
2009,0.409
2010,0.978
2011,0.898
2012,0.589
2013,0.916
2014,0.646
2015,0.517
2016,0.97
2017,1.127
2018,0.953
2019,1.065
2020,1.237
2021,1.075
2022,1.346
