Year,Temperature(Degree Celsius)
1961,1.892
1962,-0.339
1963,-0.401
1964,0.338
1965,-0.263
1966,-1.801
1967,1.088
1968,-1.634
1969,-0.478
1970,-0.629
1971,-0.452
1972,0.933
1973,1.138
1974,1.121
1975,1.893
1976,-0.877
1977,-0.227
1978,-0.526
1979,-0.755
1980,-0.38
1981,-0.24
1982,-0.155
1983,0.964
1984,0.757
1985,-1.177
1986,-0.181
1987,-1.652
1988,0.579
1989,2.179
1990,1.249
1991,1.138
1992,1.165
1993,0.937
1994,0.146
1995,1.701
1996,0.137
1997,0.783
1998,0.071
1999,1.159
2000,2.024
2001,1.365
2002,1.171
2003,0.713
2004,1.233
2005,2.201
2006,1.204
2007,1.946
2008,2.13
2009,1.695
2010,0.242
2011,1.354
2012,1.54
2013,1.424
2014,2.591
2015,2.613
2016,2.151
2017,1.487
2018,2.157
2019,1.452
2020,3.317
2021,1.938
2022,2.062
