Year,Temperature(Degree Celsius)
1961,-0.139
1962,-0.063
1963,0.232
1964,-0.148
1965,-0.164
1966,0.14
1967,-0.127
1968,-0.138
1969,0.11
1970,0.142
1971,-0.053
1972,-0.064
1973,0.468
1974,-0.084
1975,-0.126
1976,-0.335
1977,0.185
1978,0.069
1979,0.385
1980,0.307
1981,-0.176
1982,-0.374
1983,0.174
1984,0.204
1985,-0.219
1986,-0.126
1987,0.272
1988,0.232
1989,-0.023
1990,0.124
1991,0.081
1992,-0.166
1993,0.19
1994,0.187
1995,0.582
1996,0.104
1997,0.292
1998,1.119
1999,0.589
2000,0.307
2001,0.286
2002,0.662
2003,0.893
2004,0.831
2005,0.808
2006,0.737
2007,0.926
2008,0.782
2009,0.824
2010,1.08
2011,0.657
2012,0.615
2013,0.794
2014,0.805
2015,1.024
2016,1.505
2017,1.353
2018,1.026
2019,1.534
2020,1.377
2021,1.063
2022,0.994
