Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,-1.157
1993,-1.204
1994,0.451
1995,0.748
1996,0.189
1997,0.266
1998,1.26
1999,1.229
2000,0.967
2001,1.286
2002,1.06
2003,-0.239
2004,0.923
2005,0.542
2006,1.277
2007,0.908
2008,0.699
2009,0.714
2010,2.486
2011,0.432
2012,1.22
2013,1.401
2014,1.277
2015,1.78
2016,1.365
2017,0.809
2018,2.51
2019,1.753
2020,2.006
2021,1.65
2022,1.51
