Year,Temperature(Degree Celsius)
1961,0.99
1962,-0.75
1963,-1.084
1964,-0.328
1965,-0.814
1966,0.407
1967,0.868
1968,0.204
1969,-0.111
1970,-0.832
1971,0.032
1972,-0.014
1973,0.188
1974,0.318
1975,1.099
1976,0.47
1977,0.283
1978,-0.173
1979,-0.64
1980,-0.186
1981,0.296
1982,0.439
1983,1.071
1984,-0.11
1985,-0.8
1986,-0.007
1987,-0.561
1988,0.893
1989,1.491
1990,1.571
1991,0.286
1992,1.228
1993,0.31
1994,1.625
1995,1.307
1996,-0.699
1997,0.558
1998,1.153
1999,1.367
2000,1.764
2001,1.292
2002,1.491
2003,1.258
2004,0.998
2005,1.025
2006,1.254
2007,2.088
2008,1.542
2009,1.282
2010,0.196
2011,1.121
2012,1.349
2013,0.583
2014,2.519
2015,1.674
2016,1.988
2017,1.653
2018,2.393
2019,2.332
2020,2.516
2021,1.325
2022,2.596
