Year,Temperature(Degree Celsius)
1961,0.595
1962,0.536
1963,0.022
1964,0.483
1965,-0.087
1966,0.228
1967,-0.125
1968,0.016
1969,-0.31
1970,-0.048
1971,-0.81
1972,-0.865
1973,-0.157
1974,-0.369
1975,-0.177
1976,-0.469
1977,-0.144
1978,0.213
1979,0.396
1980,0.312
1981,0.358
1982,0.481
1983,0.382
1984,-0.15
1985,0.592
1986,0.227
1987,0.497
1988,0.782
1989,0.908
1990,1.202
1991,0.111
1992,0.176
1993,-0.128
1994,0.736
1995,1.315
1996,0.747
1997,1.47
1998,1.109
1999,0.715
2000,0.829
2001,1.28
2002,0.862
2003,1.4
2004,1.027
2005,0.841
2006,1.425
2007,0.83
2008,0.982
2009,1.283
2010,1.318
2011,1.618
2012,0.924
2013,0.869
2014,1.417
2015,1.382
2016,1.726
2017,2.005
2018,0.739
2019,1.3
2020,1.923
2021,1.504
2022,2.228
