Year,Temperature(Degree Celsius)
1961,0.479
1962,0.619
1963,0.305
1964,-0.301
1965,-0.322
1966,0.79
1967,-0.194
1968,0.182
1969,-0.09
1970,0.269
1971,-0.222
1972,-0.177
1973,-0.357
1974,-0.193
1975,-0.25
1976,-0.916
1977,0.33
1978,-0.555
1979,0.179
1980,-0.379
1981,-0.191
1982,-0.243
1983,-0.493
1984,-0.123
1985,-0.063
1986,0.312
1987,-0.395
1988,0.129
1989,-0.204
1990,0.368
1991,-0.197
1992,-0.528
1993,-0.328
1994,1.06
1995,-0.043
1996,-0.161
1997,-0.195
1998,0.632
1999,0.8
2000,0.679
2001,1.314
2002,0.435
2003,0.385
2004,0.337
2005,0.213
2006,0.254
2007,1.08
2008,0.881
2009,0.771
2010,1.584
2011,0.394
2012,1.235
2013,1.317
2014,1.06
2015,0.904
2016,1.561
2017,0.642
2018,1.905
2019,1.381
2020,1.307
2021,1.655
2022,1.04
