Year,Temperature(Degree Celsius)
1961,-0.295
1962,0.842
1963,0.308
1964,0.257
1965,0.8
1966,-0.212
1967,-0.371
1968,-0.26
1969,-0.252
1970,-0.224
1971,-0.784
1972,-0.841
1973,-0.987
1974,0.306
1975,-1.093
1976,-0.259
1977,0.76
1978,-0.682
1979,0.498
1980,0.919
1981,-0.36
1982,-0.642
1983,-2.062
1984,-1.455
1985,0.891
1986,0.381
1987,-0.121
1988,0.513
1989,-1.537
1990,-0.348
1991,-0.291
1992,-1.228
1993,-1.355
1994,-0.425
1995,-0.328
1996,0.667
1997,0.391
1998,1.269
1999,0.522
2000,0.839
2001,0.831
2002,1.186
2003,2.328
2004,1.469
2005,1.878
2006,1.717
2007,1.363
2008,0.959
2009,0.851
2010,3.058
2011,1.684
2012,1.625
2013,1.381
2014,1.447
2015,0.205
2016,2.381
2017,1.21
2018,0.934
2019,2.206
2020,1.274
2021,2.482
2022,1.413
