Year,Temperature(Degree Celsius)
1961,0.114
1962,0.053
1963,0.309
1964,-0.052
1965,-0.196
1966,0.065
1967,-0.233
1968,-0.139
1969,0.504
1970,0.299
1971,-0.303
1972,-0.117
1973,0.073
1974,-0.447
1975,-0.396
1976,-0.24
1977,-0.127
1978,0.067
1979,0.274
1980,0.212
1981,0.331
1982,0.085
1983,0.36
1984,-0.048
1985,-0.429
1986,-0.192
1987,0.442
1988,0.446
1989,-0.169
1990,0.203
1991,0.398
1992,0.388
1993,0.431
1994,0.456
1995,0.71
1996,0.471
1997,0.63
1998,1.187
1999,0.617
2000,0.462
2001,0.691
2002,0.627
2003,0.905
2004,0.433
2005,1.004
2006,0.739
2007,0.678
2008,0.502
2009,0.507
2010,1.201
2011,0.677
2012,0.584
2013,0.776
2014,0.641
2015,0.837
2016,0.945
2017,0.92
2018,0.543
2019,1.169
2020,1.235
2021,0.767
2022,0.698
