Year,Temperature(Degree Celsius)
1961,0.041
1962,0.048
1963,0.249
1964,0.15
1965,-0.341
1966,0.051
1967,-0.238
1968,-0.211
1969,0.337
1970,0.123
1971,-0.245
1972,-0.147
1973,0.167
1974,-0.381
1975,-0.366
1976,-0.434
1977,0.074
1978,0.117
1979,0.099
1980,0.59
1981,0.5
1982,0.099
1983,0.494
1984,0.038
1985,-0.026
1986,0.01
1987,0.589
1988,0.426
1989,-0.032
1990,0.432
1991,0.448
1992,0.401
1993,0.524
1994,0.564
1995,0.671
1996,0.386
1997,0.51
1998,1.035
1999,0.515
2000,0.279
2001,0.557
2002,0.695
2003,0.816
2004,0.507
2005,0.827
2006,0.698
2007,0.921
2008,0.405
2009,0.547
2010,1.137
2011,0.539
2012,0.671
2013,0.75
2014,0.763
2015,0.998
2016,1.095
2017,0.907
2018,0.62
2019,0.803
2020,1.16
2021,0.826
2022,0.773
