Year,Temperature(Degree Celsius)
1961,-0.045
1962,-0.131
1963,-0.096
1964,-0.052
1965,-0.066
1966,-0.057
1967,-0.366
1968,-0.337
1969,0.413
1970,-0.106
1971,-0.141
1972,0.429
1973,0.458
1974,-0.281
1975,0.137
1976,-0.392
1977,0.225
1978,0.128
1979,0.332
1980,0.432
1981,-0.016
1982,0.457
1983,0.649
1984,0.116
1985,0.164
1986,0.125
1987,0.31
1988,0.481
1989,0.132
1990,0.309
1991,0.624
1992,0.445
1993,0.346
1994,0.592
1995,0.595
1996,0.09
1997,0.71
1998,0.867
1999,0.558
2000,0.31
2001,0.344
2002,0.556
2003,0.99
2004,0.611
2005,0.801
2006,0.612
2007,0.597
2008,0.213
2009,0.692
2010,0.685
2011,0.429
2012,0.52
2013,0.624
2014,0.638
2015,1.143
2016,1.425
2017,1.069
2018,0.884
2019,1.418
2020,1.728
2021,1.406
2022,0.916
