Year,Temperature(Degree Celsius)
1961,0.043
1962,-0.009
1963,-0.188
1964,0.32
1965,-0.065
1966,0.212
1967,-0.083
1968,-0.274
1969,0.439
1970,0.489
1971,-0.486
1972,-0.024
1973,0.084
1974,-0.462
1975,-0.301
1976,-0.354
1977,0.083
1978,-0.028
1979,0.341
1980,0.322
1981,0.185
1982,0.41
1983,0.539
1984,-0.351
1985,-0.329
1986,0.015
1987,0.495
1988,0.4
1989,-0.044
1990,0.527
1991,0.286
1992,0.131
1993,0.178
1994,0.482
1995,0.988
1996,0.61
1997,0.884
1998,1.287
1999,0.405
2000,0.658
2001,0.825
2002,1.074
2003,0.948
2004,0.942
2005,1.321
2006,1.003
2007,1.025
2008,0.558
2009,1.162
2010,1.115
2011,0.968
2012,0.958
2013,0.894
2014,1.071
2015,1.352
2016,1.506
2017,1.149
2018,1.137
2019,1.178
2020,1.4
2021,0.875
2022,1.066
