Year,Temperature(Degree Celsius)
1961,-0.058
1962,-0.162
1963,-0.229
1964,-0.029
1965,-0.055
1966,0.006
1967,-0.286
1968,-0.319
1969,0.243
1970,-0.124
1971,-0.161
1972,0.269
1973,0.507
1974,-0.327
1975,0.068
1976,-0.248
1977,0.337
1978,0.25
1979,0.407
1980,0.434
1981,0.108
1982,0.449
1983,0.581
1984,0.073
1985,0.14
1986,0.138
1987,0.391
1988,0.621
1989,0.191
1990,0.258
1991,0.493
1992,0.481
1993,0.203
1994,0.774
1995,0.876
1996,0.075
1997,0.797
1998,1.018
1999,0.384
2000,0.128
2001,0.396
2002,0.776
2003,0.672
2004,0.491
2005,0.956
2006,0.621
2007,0.769
2008,0.566
2009,0.811
2010,0.806
2011,0.73
2012,0.639
2013,0.915
2014,0.666
2015,1.126
2016,1.368
2017,1.034
2018,0.804
2019,1.233
2020,1.813
2021,1.098
2022,0.723
