Year,Temperature(Degree Celsius)
1961,1.176
1962,-0.419
1963,-0.463
1964,-0.877
1965,-0.883
1966,0.755
1967,0.594
1968,0.383
1969,-0.276
1970,-0.508
1971,-0.063
1972,0.39
1973,-0.033
1974,0.263
1975,0.857
1976,-0.274
1977,0.549
1978,-0.871
1979,0.047
1980,-0.62
1981,0.146
1982,0.105
1983,0.997
1984,-0.129
1985,-1.068
1986,0.356
1987,-0.547
1988,0.385
1989,0.864
1990,1.07
1991,-0.058
1992,0.911
1993,0.069
1994,1.755
1995,0.631
1996,-0.34
1997,-0.148
1998,1.081
1999,0.603
2000,1.733
2001,1.391
2002,1.423
2003,0.71
2004,0.543
2005,0.236
2006,0.699
2007,2.142
2008,1.495
2009,1.613
2010,0.806
2011,0.891
2012,1.727
2013,1.159
2014,2.229
2015,2.067
2016,1.89
2017,1.336
2018,2.524
2019,2.353
2020,1.99
2021,1.43
2022,2.142
