Year,Temperature(Degree Celsius)
1961,-0.068
1962,0.263
1963,0.755
1964,-0.667
1965,-0.28
1966,0.748
1967,-0.271
1968,-0.246
1969,-0.342
1970,0.978
1971,0.097
1972,-0.959
1973,-0.199
1974,-0.677
1975,-0.218
1976,-0.555
1977,0.394
1978,0.274
1979,0.684
1980,0.54
1981,0.677
1982,-0.12
1983,-0.111
1984,0.151
1985,0.243
1986,0.207
1987,0.536
1988,0.706
1989,0.22
1990,0.727
1991,0.389
1992,-0.757
1993,-0.017
1994,0.802
1995,0.698
1996,0.239
1997,0.644
1998,1.165
1999,1.658
2000,1.215
2001,1.525
2002,1.716
2003,0.943
2004,1.528
2005,0.828
2006,1.847
2007,0.874
2008,1.136
2009,1.177
2010,2.214
2011,1.345
2012,1.09
2013,1.642
2014,1.079
2015,1.856
2016,1.669
2017,1.737
2018,2.044
2019,1.597
2020,1.346
2021,2.176
2022,2.37
