Year,Temperature(Degree Celsius)
1961,-0.189
1962,0.885
1963,0.433
1964,-0.81
1965,-0.134
1966,0.964
1967,-0.843
1968,-0.275
1969,0.241
1970,0.661
1971,-0.178
1972,-0.731
1973,-0.245
1974,-0.434
1975,-0.239
1976,-0.777
1977,0.313
1978,0.162
1979,1.264
1980,0.058
1981,0.257
1982,-0.406
1983,-0.802
1984,0.036
1985,0.021
1986,0.37
1987,0.368
1988,0.106
1989,0.176
1990,0.356
1991,0.608
1992,-1.169
1993,-0.469
1994,1.009
1995,0.366
1996,0.798
1997,0.305
1998,1.295
1999,1.917
2000,0.995
2001,1.289
2002,1.168
2003,0.96
2004,1.084
2005,0.526
2006,1.621
2007,0.935
2008,1.155
2009,0.881
2010,2.712
2011,0.91
2012,1.293
2013,1.263
2014,1.175
2015,1.94
2016,1.672
2017,1.572
2018,2.406
2019,1.626
2020,1.857
2021,2.644
2022,2.147
