Year,Temperature(Degree Celsius)
1961,0.264
1962,-0.688
1963,-0.773
1964,0.158
1965,-0.554
1966,-0.033
1967,-0.009
1968,0.072
1969,-0.265
1970,0.06
1971,0.342
1972,-0.268
1973,0.362
1974,-0.211
1975,0.701
1976,0.561
1977,-0.279
1978,0.257
1979,-0.687
1980,-0.057
1981,0.377
1982,0.154
1983,0.408
1984,0.336
1985,-0.439
1986,-0.726
1987,-0.143
1988,0.246
1989,1.054
1990,0.829
1991,0.199
1992,0.446
1993,0.064
1994,0.282
1995,1.198
1996,-0.006
1997,0.977
1998,0.937
1999,1.077
2000,0.577
2001,0.551
2002,0.83
2003,1.024
2004,0.9
2005,1.175
2006,1.159
2007,1.345
2008,0.836
2009,0.804
2010,-0.104
2011,0.559
2012,0.705
2013,0.568
2014,1.357
2015,0.449
2016,1.04
2017,1.264
2018,0.783
2019,1.201
2020,1.075
2021,1.019
2022,1.764
