Year,Temperature(Degree Celsius)
1961,0.358
1962,-0.746
1963,-0.82
1964,0.095
1965,-0.579
1966,-0.1
1967,0.105
1968,0.035
1969,-0.287
1970,0.049
1971,0.316
1972,-0.19
1973,0.297
1974,-0.2
1975,0.697
1976,0.661
1977,-0.339
1978,0.209
1979,-0.777
1980,-0.031
1981,0.292
1982,0.076
1983,0.381
1984,0.356
1985,-0.489
1986,-0.684
1987,-0.222
1988,0.27
1989,1.105
1990,0.913
1991,0.178
1992,0.462
1993,-0.037
1994,0.269
1995,1.164
1996,-0.112
1997,0.924
1998,0.928
1999,1.112
2000,0.636
2001,0.516
2002,0.891
2003,1.049
2004,0.952
2005,1.165
2006,1.229
2007,1.321
2008,0.829
2009,0.874
2010,-0.111
2011,0.681
2012,0.61
2013,0.428
2014,1.515
2015,0.441
2016,1.118
2017,1.367
2018,0.881
2019,1.175
2020,1.199
2021,1.02
2022,1.84
