Year,Temperature(Degree Celsius)
1961,-0.106
1962,0.826
1963,0.842
1964,-0.622
1965,-0.031
1966,0.61
1967,-0.928
1968,-0.118
1969,0.238
1970,0.184
1971,-0.353
1972,-0.513
1973,-0.481
1974,-0.26
1975,-0.414
1976,-0.577
1977,0.005
1978,-0.079
1979,0.607
1980,-0.202
1981,-0.213
1982,-0.564
1983,-1.066
1984,-0.209
1985,0.01
1986,0.056
1987,-0.283
1988,0.037
1989,-0.174
1990,-0.112
1991,0.393
1992,-1.037
1993,-0.368
1994,0.796
1995,-0.153
1996,0.342
1997,-0.118
1998,0.892
1999,0.894
2000,0.25
2001,0.855
2002,0.729
2003,0.559
2004,0.556
2005,0.199
2006,0.593
2007,0.521
2008,0.724
2009,0.824
2010,2.321
2011,0.578
2012,1.035
2013,1.108
2014,0.871
2015,1.331
2016,1.607
2017,0.735
2018,2.003
2019,1.212
2020,1.451
2021,1.786
2022,1.079
