Year,Temperature(Degree Celsius)
1961,0.805
1962,0.025
1963,-0.365
1964,0.131
1965,-0.431
1966,0.307
1967,0.301
1968,0.011
1969,-0.107
1970,-0.153
1971,-0.149
1972,-0.132
1973,0.034
1974,-0.115
1975,0.075
1976,-0.32
1977,0.283
1978,-0.537
1979,0.022
1980,-0.421
1981,-0.279
1982,0.511
1983,0.384
1984,-0.468
1985,0.117
1986,0.436
1987,0.192
1988,0.842
1989,0.417
1990,1.132
1991,0.029
1992,0.542
1993,0.527
1994,1.513
1995,0.418
1996,0.233
1997,0.931
1998,0.969
1999,0.918
2000,1.243
2001,1.533
2002,0.913
2003,1.526
2004,0.746
2005,0.563
2006,0.84
2007,1.552
2008,1.133
2009,1.234
2010,0.755
2011,1.253
2012,1.543
2013,1.006
2014,1.638
2015,1.704
2016,1.716
2017,1.606
2018,1.834
2019,1.698
2020,1.902
2021,1.569
2022,2.135
