Year,Temperature(Degree Celsius)
1961,-0.189
1962,0.983
1963,0.784
1964,-0.655
1965,-0.005
1966,0.742
1967,-1.048
1968,-0.129
1969,0.383
1970,0.196
1971,-0.405
1972,-0.626
1973,-0.491
1974,-0.334
1975,-0.507
1976,-0.726
1977,-0.001
1978,-0.005
1979,0.77
1980,-0.113
1981,-0.158
1982,-0.682
1983,-1.071
1984,-0.227
1985,-0.009
1986,0.069
1987,-0.122
1988,0.03
1989,-0.065
1990,-0.03
1991,0.521
1992,-1.11
1993,-0.503
1994,0.941
1995,-0.047
1996,0.487
1997,-0.176
1998,1.023
1999,1.052
2000,0.375
2001,0.983
2002,0.666
2003,0.498
2004,0.62
2005,0.103
2006,0.752
2007,0.516
2008,0.732
2009,0.549
2010,2.625
2011,0.506
2012,1.067
2013,1.002
2014,0.787
2015,1.429
2016,1.641
2017,0.92
2018,1.972
2019,1.281
2020,1.617
2021,1.923
2022,1.358
