Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,0.287
1993,-0.377
1994,-0.052
1995,2.034
1996,-0.408
1997,1.889
1998,0.494
1999,1.377
2000,1.502
2001,1.655
2002,2.255
2003,0.13
2004,2.15
2005,1.551
2006,1.442
2007,2.197
2008,1.549
2009,1.195
2010,1.306
2011,0.746
2012,1.151
2013,1.621
2014,0.673
2015,1.609
2016,2.24
2017,1.757
2018,0.641
2019,1.487
2020,2.853
2021,1.465
2022,2.712
