Year,Temperature(Degree Celsius)
1961,0.258
1962,-0.242
1963,-0.191
1964,-0.442
1965,-0.299
1966,0.062
1967,-0.064
1968,-0.641
1969,0.086
1970,0.181
1971,-0.272
1972,0.216
1973,0.535
1974,-0.069
1975,-0.067
1976,0.229
1977,0.216
1978,-0.023
1979,0.055
1980,0.561
1981,0.183
1982,0.297
1983,0.609
1984,0.173
1985,-0.057
1986,0.133
1987,0.73
1988,0.589
1989,-0.208
1990,-0.05
1991,0.258
1992,0.406
1993,0.048
1994,0.488
1995,0.356
1996,0.366
1997,0.415
1998,0.25
1999,0.24
2000,0.521
2001,0.602
2002,0.734
2003,0.879
2004,0.648
2005,0.762
2006,0.89
2007,0.634
2008,0.824
2009,1.293
2010,1.106
2011,1.137
2012,1.026
2013,0.93
2014,1.024
2015,1.164
2016,1.237
2017,1.5
2018,0.675
2019,1.624
2020,1.344
2021,1.421
2022,1.28
