Year,Temperature(Degree Celsius)
1961,-0.038
1962,-0.132
1963,-0.073
1964,-0.177
1965,-0.347
1966,-0.025
1967,-0.037
1968,-0.014
1969,0.362
1970,0.111
1971,-0.442
1972,-0.294
1973,0.145
1974,-0.144
1975,-0.225
1976,-0.218
1977,0.145
1978,0.247
1979,0.171
1980,0.214
1981,0.253
1982,0.179
1983,0.122
1984,-0.138
1985,0.062
1986,0.328
1987,0.11
1988,0.073
1989,-0.203
1990,0.222
1991,0.251
1992,0.144
1993,-0.192
1994,0.096
1995,0.404
1996,0.291
1997,0.087
1998,0.498
1999,-0.142
2000,0.125
2001,0.406
2002,0.508
2003,0.591
2004,
2005,
2006,0.571
2007,0.547
2008,0.25
2009,0.603
2010,0.312
2011,0.328
2012,0.428
2013,0.628
2014,0.768
2015,0.902
2016,1.229
2017,1.041
2018,0.947
2019,0.949
2020,1.425
2021,
2022,
