Year,Temperature(Degree Celsius)
1961,0.495
1962,-0.055
1963,-0.105
1964,0.238
1965,-0.208
1966,-0.065
1967,0.165
1968,-0.467
1969,-0.455
1970,-0.379
1971,-0.282
1972,-0.171
1973,0.614
1974,-0.486
1975,0.909
1976,-0.343
1977,0.168
1978,0.665
1979,0.619
1980,0.004
1981,-0.597
1982,0.911
1983,0.598
1984,-0.145
1985,0.152
1986,-0.702
1987,0.231
1988,0.562
1989,1.235
1990,1.329
1991,0.604
1992,0.778
1993,0.577
1994,1.355
1995,0.694
1996,0.276
1997,0.991
1998,1.776
1999,1.382
2000,0.594
2001,0.859
2002,0.844
2003,0.926
2004,1.576
2005,0.847
2006,0.694
2007,1.605
2008,1.525
2009,1.064
2010,0.384
2011,0.523
2012,0.419
2013,0.304
2014,1.518
2015,1.217
2016,1.419
2017,1.593
2018,0.863
2019,1.826
2020,1.864
2021,1.857
2022,1.61
